query_nr,model,rank,gutenberg_id,label
1,bm25,1,100,1
1,bm25,2,10014,0
1,bm25,3,10341,2
1,bm25,4,10343,1
1,bm25,5,10357,2
1,bm25,6,10418,0
1,bm25,7,10421,2
1,bm25,8,10451,2
1,bm25,9,10491,2
1,bm25,10,10560,0
1,structured,1,24890,0
1,structured,2,28147,0
1,structured,3,58018,0
1,structured,4,13004,0
1,structured,5,14985,0
1,structured,6,16112,0
1,structured,7,16560,0
1,structured,8,19103,0
1,structured,9,22914,0
1,structured,10,23683,0
2,bm25,1,12735,0
2,bm25,2,37739,2
2,bm25,3,40617,2
2,bm25,4,31639,0
2,bm25,5,36553,2
2,bm25,6,11615,1
2,bm25,7,22307,0
2,bm25,8,70957,2
2,bm25,9,66712,1
2,bm25,10,38017,2
2,structured,1,11615,1
2,structured,2,14006,1
2,structured,3,14070,1
2,structured,4,17594,1
2,structured,5,26991,1
2,structured,6,30036,1
2,structured,7,43397,1
2,structured,8,44802,1
2,structured,9,45814,1
2,structured,10,48702,1
2,vsm,1,54324,0
2,vsm,2,45023,1
2,vsm,3,29163,0
2,vsm,4,11099,0
2,vsm,5,54663,0
2,vsm,6,54322,0
2,vsm,7,23765,2
2,vsm,8,25040,2
2,vsm,9,26991,1
2,vsm,10,47779,0
3,bm25,1,54993,0
3,bm25,2,10336,0
3,bm25,3,58237,0
3,bm25,4,58546,0
3,bm25,5,11825,0
3,bm25,6,11847,0
3,bm25,7,63066,0
3,bm25,8,11822,0
3,bm25,9,11850,0
3,bm25,10,11802,0
3,structured,1,28554,1
3,structured,2,28644,1
3,structured,3,28698,1
3,structured,4,28767,1
3,structured,5,29132,1
3,structured,6,30255,1
3,structured,7,31516,1
3,structured,8,32032,1
3,structured,9,32154,1
3,structured,10,32522,1
3,vsm,1,21399,0
3,vsm,2,28644,1
3,vsm,3,22427,0
3,vsm,4,30399,0
3,vsm,5,28125,0
3,vsm,6,16198,0
3,vsm,7,41369,0
3,vsm,8,31516,1
3,vsm,9,10742,0
3,vsm,10,32504,0
4,bm25,1,9380,1
4,bm25,2,35418,1
4,bm25,3,36308,1
4,bm25,4,20353,1
4,bm25,5,11483,1
4,bm25,6,70244,2
4,bm25,7,12,1
4,bm25,8,31034,2
4,bm25,9,23545,2
4,bm25,10,30778,2
4,vsm,1,36308,1
4,vsm,2,20353,1
4,vsm,3,35418,1
4,vsm,4,70244,2
4,vsm,5,12,1
4,vsm,6,11483,1
4,vsm,7,9380,1
4,vsm,8,35688,1
4,vsm,9,30778,2
4,vsm,10,31034,2
5,bm25,1,53561,2
5,bm25,2,71276,0
5,bm25,3,23618,1
5,bm25,4,34731,2
5,bm25,5,27046,1
5,bm25,6,27045,1
5,bm25,7,27039,1
5,bm25,8,51566,0
5,bm25,9,51565,0
5,bm25,10,51563,0
5,structured,1,200,1
5,structured,2,3432,2
5,structured,3,3459,2
5,structured,4,3471,2
5,structured,5,3483,2
5,structured,6,3493,2
5,structured,7,3531,2
5,structured,8,3542,2
5,structured,9,3603,2
5,structured,10,3617,2
5,vsm,1,29156,2
5,vsm,2,29434,2
5,vsm,3,672,0
5,vsm,4,15809,0
5,vsm,5,10469,0
5,vsm,6,33108,0
5,vsm,7,29430,2
5,vsm,8,29441,2
5,vsm,9,29459,2
5,vsm,10,7920,0
6,bm25,1,61708,2
6,bm25,2,28100,2
6,bm25,3,35116,2
6,bm25,4,62670,2
6,bm25,5,63465,1
6,bm25,6,42900,1
6,bm25,7,19716,0
6,bm25,8,30038,2
6,bm25,9,22160,2
6,bm25,10,35547,0
6,vsm,1,35116,2
6,vsm,2,30038,2
6,vsm,3,61708,2
6,vsm,4,62670,2
6,vsm,5,30269,0
6,vsm,6,19716,0
6,vsm,7,42900,1
6,vsm,8,28100,2
6,vsm,9,22160,2
6,vsm,10,39782,2
